,App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
1880,5960674$VALID,HDR$VALID,02/15/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,"Fingerprints, copy of DMV lic, other. Visit www.nyc.gov/tlcup",11/27/2020 05:00:03 PM$VALID
1881,5962433$VALID,HDR$VALID,03/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1882,5964910$VALID,HDR$VALID,09/01/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1883,5960323$VALID,HDR$VALID,02/10/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1884,5965073$VALID,HDR$VALID,09/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1885,5965447$VALID,HDR$VALID,10/08/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1886,5965976$VALID,HDR$VALID,10/30/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1887,5963768$VALID,HDR$VALID,06/16/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1888,5960372$VALID,HDR$VALID,02/10/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1889,5963622$VALID,HDR$VALID,05/27/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1890,5965887$VALID,HDR$VALID,10/28/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1891,5962295$VALID,HDR$VALID,03/07/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1892,5966010$VALID,HDR$VALID,10/30/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1893,5964045$VALID,HDR$VALID,07/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1894,5957981$VALID,HDR$VALID,01/08/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1895,5966355$VALID,HDR$VALID,11/11/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1896,5956735$VALID,HDR$VALID,12/16/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1897,5956483$VALID,HDR$VALID,12/11/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1898,5962245$VALID,HDR$VALID,03/06/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1899,5964073$VALID,HDR$VALID,07/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1900,5965431$VALID,HDR$VALID,10/07/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1901,5965294$VALID,HDR$VALID,09/28/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1902,5965924$VALID,HDR$VALID,10/29/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1903,5964989$VALID,HDR$VALID,09/08/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1904,5957183$VALID,HDR$VALID,12/23/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1905,5963485$VALID,HDR$VALID,04/30/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1906,5960594$VALID,HDR$VALID,02/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1907,5957575$VALID,HDR$VALID,01/02/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1908,5963546$VALID,HDR$VALID,05/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1909,5959505$VALID,HDR$VALID,01/28/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1910,5959288$VALID,HDR$VALID,01/25/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1911,5962766$VALID,HDR$VALID,03/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1912,5957942$VALID,HDR$VALID,01/07/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1913,5958831$VALID,HDR$VALID,01/19/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1914,5966559$VALID,HDR$VALID,11/18/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1915,5962477$VALID,HDR$VALID,03/10/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1916,5964221$VALID,HDR$VALID,07/23/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1917,5964188$VALID,HDR$VALID,07/21/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1918,5962828$VALID,HDR$VALID,03/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1919,5959627$VALID,HDR$VALID,01/30/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1920,5964833$VALID,HDR$VALID,08/26/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1921,5966069$VALID,HDR$VALID,11/02/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1922,5748366$VALID,HDR$VALID,05/29/2017$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Complete$VALID,"Fingerprints, copy of DMV lic, other. Visit www.nyc.gov/tlcup",11/27/2020 05:00:03 PM$VALID
1923,5966237$VALID,HDR$VALID,11/08/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1924,5963930$VALID,HDR$VALID,06/29/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1925,5961064$VALID,HDR$VALID,02/20/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1926,5921784$VALID,HDR$VALID,02/06/2018$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1927,5965366$VALID,HDR$VALID,10/02/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1928,5964854$VALID,HDR$VALID,08/28/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1929,5961545$VALID,HDR$VALID,02/26/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1930,5964206$VALID,HDR$VALID,07/22/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1931,5964207$VALID,HDR$VALID,07/22/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1932,5966150$VALID,HDR$VALID,11/05/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1933,5966601$VALID,HDR$VALID,11/19/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1934,5965963$VALID,HDR$VALID,10/30/2020$VALID,Under Review$INVALID(OOCCURRENCEERROR),Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1935,5963998$VALID,HDR$VALID,07/06/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1936,5957979$VALID,HDR$VALID,01/08/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1937,5963953$VALID,HDR$VALID,07/01/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1938,5965806$VALID,HDR$VALID,10/26/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1939,5964443$VALID,HDR$VALID,08/04/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1940,5965505$VALID,HDR$VALID,10/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1941,5963607$VALID,HDR$VALID,05/24/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1942,5966602$VALID,HDR$VALID,11/20/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1943,5963552$VALID,HDR$VALID,05/14/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1944,5960702$VALID,HDR$VALID,02/16/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1945,5962189$VALID,HDR$VALID,03/06/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1946,5959196$VALID,HDR$VALID,01/24/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1947,5965738$VALID,HDR$VALID,10/23/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1948,5966595$VALID,HDR$VALID,11/19/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1949,5965351$VALID,HDR$VALID,10/01/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1950,5958064$VALID,HDR$VALID,01/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1951,5962778$VALID,HDR$VALID,03/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1952,5963104$VALID,HDR$VALID,03/18/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1953,5959904$VALID,HDR$VALID,02/03/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1954,5966093$VALID,HDR$VALID,11/03/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1955,5961248$VALID,HDR$VALID,02/24/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1956,5965464$VALID,HDR$VALID,10/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1957,5963265$VALID,HDR$VALID,03/25/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1958,5963173$VALID,HDR$VALID,03/20/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1959,5965601$VALID,HDR$VALID,10/19/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1960,5966742$VALID,HDR$VALID,11/26/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1961,5966692$VALID,HDR$VALID,11/24/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1962,5963925$VALID,HDR$VALID,06/29/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1963,5964977$VALID,HDR$VALID,09/04/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1964,5956662$VALID,HDR$VALID,12/13/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1965,5962669$VALID,HDR$VALID,03/12/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1966,5966260$VALID,HDR$VALID,11/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1967,5963929$VALID,HDR$VALID,06/29/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1968,5921786$VALID,HDR$VALID,02/06/2018$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1969,5965828$VALID,HDR$VALID,10/26/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1970,5961441$VALID,HDR$VALID,02/25/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1971,5962460$VALID,HDR$VALID,03/10/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1972,5962187$VALID,HDR$VALID,03/06/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1973,5965560$VALID,HDR$VALID,10/17/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1974,5965701$VALID,HDR$VALID,10/21/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1975,5963996$VALID,HDR$VALID,07/06/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1976,5964013$VALID,HDR$VALID,07/07/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1977,5960310$VALID,HDR$VALID,02/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1978,5961713$VALID,HDR$VALID,02/29/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1979,5957839$VALID,HDR$VALID,01/06/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1980,5962131$VALID,HDR$VALID,03/05/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
1981,5961309$VALID,HDR$VALID,02/24/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1982,5961063$VALID,HDR$VALID,02/20/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1983,5956975$VALID,HDR$VALID,12/20/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1984,5966696$VALID,HDR$VALID,11/24/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1985,5962853$VALID,HDR$VALID,03/15/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1986,5961242$VALID,HDR$VALID,02/24/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1987,5960285$VALID,HDR$VALID,02/08/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Open items needed. Visit www.nyc.gov/tlcup for more information,11/27/2020 05:00:03 PM$VALID
1988,5964040$VALID,HDR$VALID,07/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
1989,5964783$VALID,HDR$VALID,08/24/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
1990,5964713$VALID,HDR$VALID,08/21/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
